station,xCor,yCor
뚝섬유원지,940.240234375,524.46240234375
서강대,544.40478515625,604.14013671875
가좌,474.87451171875,673.67138671875
화서,786.673828125,167.28271484375
춘의,189.96142578125,436.37548828125
마천,1200.890625,396.49169921875
미아사거리,838.693359375,825.65283203125
신이문,915.4833984375,789.97998046875
서대문,617.80029296875,661.45751953125
공항시장,174.69189453125,656.61669921875
마장,866.2373046875,660.62451171875
신금호,798.2099609375,621.50732421875
동암,66.73779296875,388.63330078125
신림,528.52880859375,346.69677734375
응봉,836.1513671875,599.10986328125
한남,761.0576171875,524.01904296875
수색,433.33251953125,715.75830078125
강매,373.26513671875,775.82568359375
도림천,374.46142578125,466.93115234375
수내,1057.1875,171.59716796875
월드컵경기장,434.91650390625,670.05615234375
애오개,618.64697265625,600.00732421875
독립문,615.54541015625,687.20458984375
홍제,563.36279296875,739.55712890625
무악재,585.06494140625,717.69287109375
마포구청,442.48291015625,642.61376953125
망원,466.76416015625,615.32470703125
송파,1067.3837890625,406.03857421875
달월,391.17724609375,174.44677734375
월곶,368.54931640625,196.55517578125
소래포구,324.94677734375,199.81884765625
가양,316.37841796875,649.42041015625
증미,333.83251953125,631.96533203125
등촌,354.13818359375,611.65576171875
염창,374.53564453125,591.25048828125
신목동,391.84033203125,574.20263671875
국회의사당,491.31494140625,512.76318359375
샛강,529.53662109375,474.54150390625
남성,650.224609375,352.85888671875
숭실대입구,606.99755859375,396.08447265625
상도,582.73388671875,420.07275390625
역촌,513.59228515625,803.95166015625
증산,479.25244140625,714.38623046875
행당,827.62109375,621.99560546875
마포,577.66162109375,557.51220703125
여의나루,535.20556640625,515.05615234375
전대 · 에버랜드,1133.8779296875,191.50048828125
미금,1033.513671875,147.91748046875
서현,1069.720703125,184.02880859375
운동장 · 송림대,1085.1962890625,142.81884765625
김량장,1073.0263671875,130.65087890625
고진,1097.37109375,154.99462890625
보평,1109.5400390625,167.16357421875
둔전,1121.7158203125,179.33837890625
이매,1082.1708984375,196.56689453125
야탑,1094.107421875,208.49853515625
의정부시청,763.525390625,1195.66064453125
흥선,754.0322265625,1186.83642578125
의정부중앙,741.599609375,1174.40380859375
동오,729.1669921875,1161.97216796875
새말,716.7353515625,1149.54638671875
"경기도청React.createElement('br')북부청사",704.3095703125,1137.11474609375
효자,691.8779296875,1124.68310546875
곤제,679.4453125,1112.25048828125
어룡,667.0146484375,1099.81884765625
송산,654.5830078125,1087.38720703125
탑석,642.150390625,1074.95556640625
소요산,695.1904296875,1074.67431640625
동두천,708.080078125,1086.06005859375
보산,719.466796875,1097.44580078125
동두천중앙,730.8525390625,1108.83154296875
지행,742.23828125,1120.21728515625
덕정,753.625,1131.60302734375
덕계,765.0107421875,1142.98876953125
양주,776.396484375,1154.37451171875
녹양,787.7822265625,1165.76025390625
가능,799.16796875,1177.14697265625
의정부,810.5537109375,1188.53271484375
길음,809.5703125,795.87939453125
성신여대입구,780.2861328125,766.58837890625
한성대입구,755.134765625,741.42236328125
외대앞,893.3125,767.85791015625
봉화산,1004.623046875,850.25439453125
선유도,420.40576171875,562.24072265625
한양대,870.9345703125,619.89013671875
뚝섬,872.4560546875,589.66552734375
아현,603.45166015625,618.75048828125
회현,668.2919921875,623.11083984375
효창공원앞,619.61669921875,563.84423828125
대흥,552.96044921875,574.82861328125
사평,771.16015625,418.78173828125
구룡,908.6630859375,353.40380859375
청담,880.724609375,489.34619140625
신대방삼거리,520.83837890625,402.63037109375
방배,726.423828125,330.14892578125
상일동,1223.048828125,624.31982421875
고덕,1189.466796875,610.40966796875
산성,1112.1953125,286.19677734375
남한산성입구,1129.3564453125,278.53076171875
대모산입구,948.701171875,368.34033203125
개화,134.14013671875,701.95361328125
화랑대,969.89453125,855.97705078125
제기동,826.6044921875,704.03369140625
거여,1160.64453125,394.16845703125
개통,1132.40625,405.86865234375
판교,1013.134765625,178.94287109375
청계산입구,896.7646484375,227.14892578125
영등포시장,450.46240234375,498.52880859375
노들,584.64404296875,439.60693359375
흑석,614.04833984375,427.42529296875
광나루,1041.4052734375,584.86279296875
장한평,927.87109375,652.99658203125
답십리,891.265625,668.18310546875
철산,337.34716796875,327.60009765625
광명사거리,293.54443359375,345.74365234375
천왕,249.76611328125,363.88037109375
상월곡,866.814453125,813.27783203125
돌곶이,891.8916015625,823.66162109375
상계,951.169921875,1003.57666015625
쌍문,837.916015625,956.66748046875
잠원,760.970703125,466.90576171875
